[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv64-32 --kdir /mnt/m2data/linux-worktrees/v6.17 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv64-v6.17
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv64-v6.17
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv64-v6.17
Detected kernel version: 6.17.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=False, abi='rv32', compat=True, ...)
[D] compat_sys_call_table[74]: Symbol("__riscv_compat_sys_signalfd4" at 0xffffffff802e5b64, type=FUNC, size=0x70)
[D] compat_sys_call_table[75]: Symbol("__riscv_sys_vmsplice" at 0xffffffff802c8708, type=FUNC, size=0x1e)
[D] compat_sys_call_table[76]: Symbol("__riscv_sys_splice" at 0xffffffff802c8728, type=FUNC, size=0x200)
[D] compat_sys_call_table[77]: Symbol("__riscv_sys_tee" at 0xffffffff802c8c44, type=FUNC, size=0xaa)
[D] compat_sys_call_table[78]: Symbol("__riscv_sys_readlinkat" at 0xffffffff8028b840, type=FUNC, size=0x1e)
[D] compat_sys_call_table[79]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff800136d4, type=FUNC, size=0x14)
[D] compat_sys_call_table[80]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff800136d4, type=FUNC, size=0x14)
[D] compat_sys_call_table[81]: Symbol("__riscv_sys_sync" at 0xffffffff802c8ff8, type=FUNC, size=0x16)
[D] compat_sys_call_table[82]: Symbol("__riscv_sys_fsync" at 0xffffffff802c9114, type=FUNC, size=0x1a)
[D] compat_sys_call_table[83]: Symbol("__riscv_sys_fdatasync" at 0xffffffff802c9130, type=FUNC, size=0x1a)
[D] compat_sys_call_table[84]: Symbol("__riscv_compat_sys_sync_file_range" at 0xffffffff802c932c, type=FUNC, size=0x92)
[D] compat_sys_call_table[85]: Symbol("__riscv_sys_timerfd_create" at 0xffffffff802e6aa0, type=FUNC, size=0x1bc)
[D] compat_sys_call_table[86]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff800136d4, type=FUNC, size=0x14)
[D] compat_sys_call_table[87]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff800136d4, type=FUNC, size=0x14)
[D] compat_sys_call_table[88]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff800136d4, type=FUNC, size=0x14)
[D] compat_sys_call_table[89]: Symbol("__riscv_sys_acct" at 0xffffffff800e4de0, type=FUNC, size=0x2d6)
[D] compat_sys_call_table[90]: Symbol("__riscv_sys_capget" at 0xffffffff800325a0, type=FUNC, size=0x1e2)
[D] compat_sys_call_table[91]: Symbol("__riscv_sys_capset" at 0xffffffff80032784, type=FUNC, size=0x1fa)
[D] compat_sys_call_table[92]: Symbol("__riscv_sys_personality" at 0xffffffff8002646c, type=FUNC, size=0x26)
[D] compat_sys_call_table[93]: Symbol("__riscv_sys_exit" at 0xffffffff8002c404, type=FUNC, size=0x18)
[D] compat_sys_call_table[94]: Symbol("__riscv_sys_exit_group" at 0xffffffff8002c48c, type=FUNC, size=0x18)
[D] compat_sys_call_table[95]: Symbol("__riscv_compat_sys_waitid" at 0xffffffff8002d234, type=FUNC, size=0x20)
[D] compat_sys_call_table[96]: Symbol("__riscv_sys_set_tid_address" at 0xffffffff80024150, type=FUNC, size=0x22)
[D] compat_sys_call_table[97]: Symbol("__riscv_sys_unshare" at 0xffffffff8002634c, type=FUNC, size=0x18)
[D] compat_sys_call_table[98]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff800136d4, type=FUNC, size=0x14)
[D] compat_sys_call_table[99]: Symbol("__riscv_compat_sys_set_robust_list" at 0xffffffff800de1f4, type=FUNC, size=0x30)
[D] compat_sys_call_table[100]: Symbol("__riscv_compat_sys_get_robust_list" at 0xffffffff800de224, type=FUNC, size=0x1e2)
[D] compat_sys_call_table[101]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff800136d4, type=FUNC, size=0x14)
[D] compat_sys_call_table[102]: Symbol("__riscv_compat_sys_getitimer" at 0xffffffff800d23e8, type=FUNC, size=0xc4)
[D] compat_sys_call_table[103]: Symbol("__riscv_compat_sys_setitimer" at 0xffffffff800d2754, type=FUNC, size=0x186)
[D] compat_sys_call_table[104]: Symbol("__riscv_compat_sys_kexec_load" at 0xffffffff800e78bc, type=FUNC, size=0x170)
